Name,Theoretical
Screened CCMs63,450.2751
FA 20:5;O,452.2907938
FA 20:4;O,454.3064438
FA 20:3;O,456.3218
FA 19:3;O2,458.3013584
FA 20:2;O,458.3377438
FA 20:1;O,460.3531
FA 19:1;O2,462.3326584
FA 20:5;O2,468.2857084
FA 20:4;O2,470.3013584
FA 20:3;O2,472.3170084
Lactulose,476.1874
Screened CCMs64,482.2995
Screened CCMs65,482.3013
Screened CCMs66,484.317
Screened CCMs67_1,485.1878
Screened CCMs67_2,485.1879
Screened CCMs68,490.1609
Screened CCMs69,494.2032
Screened CCMs70_1,496.2806
Screened CCMs71,502.237
Screened CCMs72_1,504.2526
Screened CCMs72_2,504.2527
Screened CCMs73,516.1765
Screened CCMs74,518.2321
Screened CCMs75,530.2684
Screened CCMs76_1,564.3793
Screened CCMs76_2,564.3797
Screened CCMs77,581.3696
Screened CCMs78,595.3488
Screened CCMs79,597.3645
Screened CCMs80,600.3279
Screened CCMs81_1,638.2402
Screened CCMs81_2,638.2403
Screened CCMs82,647.4138
Screened CCMs83_1,648.3924
Screened CCMs83_2,648.3925
Screened CCMs84_1,671.4137
Screened CCMs84_2,671.4138
Screened CCMs85,695.4142
Screened CCMs86,789.1743
Screened CCMs87_1,800.2927
Screened CCMs87_2,800.2929
Screened CCMs88,830.5857
Screened CCMs89,943.6698
